noisy_path,clean_path
data/training/noisy/sample8218.wav,data/training/clean/sample8218.wav
data/training/noisy/sample13034.wav,data/training/clean/sample13034.wav
data/training/noisy/sample21679.wav,data/training/clean/sample21679.wav
data/training/noisy/sample4752.wav,data/training/clean/sample4752.wav
data/training/noisy/sample19376.wav,data/training/clean/sample19376.wav
data/training/noisy/sample5841.wav,data/training/clean/sample5841.wav
data/training/noisy/sample21723.wav,data/training/clean/sample21723.wav
data/training/noisy/sample15970.wav,data/training/clean/sample15970.wav
data/training/noisy/sample2045.wav,data/training/clean/sample2045.wav
data/training/noisy/sample10835.wav,data/training/clean/sample10835.wav
data/training/noisy/sample8165.wav,data/training/clean/sample8165.wav
data/training/noisy/sample15509.wav,data/training/clean/sample15509.wav
data/training/noisy/sample6357.wav,data/training/clean/sample6357.wav
data/training/noisy/sample18174.wav,data/training/clean/sample18174.wav
data/training/noisy/sample16337.wav,data/training/clean/sample16337.wav
data/training/noisy/sample19773.wav,data/training/clean/sample19773.wav
data/training/noisy/sample20829.wav,data/training/clean/sample20829.wav
data/training/noisy/sample15738.wav,data/training/clean/sample15738.wav
data/training/noisy/sample16934.wav,data/training/clean/sample16934.wav
data/training/noisy/sample14483.wav,data/training/clean/sample14483.wav
data/training/noisy/sample2378.wav,data/training/clean/sample2378.wav
data/training/noisy/sample23035.wav,data/training/clean/sample23035.wav
data/training/noisy/sample299.wav,data/training/clean/sample299.wav
data/training/noisy/sample5884.wav,data/training/clean/sample5884.wav
data/training/noisy/sample2248.wav,data/training/clean/sample2248.wav
data/training/noisy/sample1548.wav,data/training/clean/sample1548.wav
data/training/noisy/sample10931.wav,data/training/clean/sample10931.wav
data/training/noisy/sample19715.wav,data/training/clean/sample19715.wav
data/training/noisy/sample6502.wav,data/training/clean/sample6502.wav
data/training/noisy/sample11980.wav,data/training/clean/sample11980.wav
data/training/noisy/sample2279.wav,data/training/clean/sample2279.wav
data/training/noisy/sample10666.wav,data/training/clean/sample10666.wav
data/training/noisy/sample11287.wav,data/training/clean/sample11287.wav
data/training/noisy/sample19186.wav,data/training/clean/sample19186.wav
data/training/noisy/sample5034.wav,data/training/clean/sample5034.wav
data/training/noisy/sample20285.wav,data/training/clean/sample20285.wav
data/training/noisy/sample17360.wav,data/training/clean/sample17360.wav
