noisy_path,clean_path
data/evaluation/noisy/sample5890.wav,data/evaluation/clean/sample5890.wav
data/evaluation/noisy/sample13834.wav,data/evaluation/clean/sample13834.wav
data/evaluation/noisy/sample17791.wav,data/evaluation/clean/sample17791.wav
data/evaluation/noisy/sample5645.wav,data/evaluation/clean/sample5645.wav
data/evaluation/noisy/sample18229.wav,data/evaluation/clean/sample18229.wav
data/evaluation/noisy/sample22635.wav,data/evaluation/clean/sample22635.wav
data/evaluation/noisy/sample11196.wav,data/evaluation/clean/sample11196.wav
data/evaluation/noisy/sample8991.wav,data/evaluation/clean/sample8991.wav
data/evaluation/noisy/sample13517.wav,data/evaluation/clean/sample13517.wav
data/evaluation/noisy/sample4384.wav,data/evaluation/clean/sample4384.wav
data/evaluation/noisy/sample15122.wav,data/evaluation/clean/sample15122.wav
data/evaluation/noisy/sample7173.wav,data/evaluation/clean/sample7173.wav
data/evaluation/noisy/sample12194.wav,data/evaluation/clean/sample12194.wav
data/evaluation/noisy/sample1523.wav,data/evaluation/clean/sample1523.wav
data/evaluation/noisy/sample2466.wav,data/evaluation/clean/sample2466.wav
data/evaluation/noisy/sample5924.wav,data/evaluation/clean/sample5924.wav
data/evaluation/noisy/sample15704.wav,data/evaluation/clean/sample15704.wav
data/evaluation/noisy/sample15792.wav,data/evaluation/clean/sample15792.wav
data/evaluation/noisy/sample5350.wav,data/evaluation/clean/sample5350.wav
data/evaluation/noisy/sample20843.wav,data/evaluation/clean/sample20843.wav
data/evaluation/noisy/sample1665.wav,data/evaluation/clean/sample1665.wav
data/evaluation/noisy/sample23064.wav,data/evaluation/clean/sample23064.wav
data/evaluation/noisy/sample15988.wav,data/evaluation/clean/sample15988.wav
data/evaluation/noisy/sample1741.wav,data/evaluation/clean/sample1741.wav
data/evaluation/noisy/sample1038.wav,data/evaluation/clean/sample1038.wav
data/evaluation/noisy/sample11584.wav,data/evaluation/clean/sample11584.wav
data/evaluation/noisy/sample5513.wav,data/evaluation/clean/sample5513.wav
data/evaluation/noisy/sample19219.wav,data/evaluation/clean/sample19219.wav
data/evaluation/noisy/sample8044.wav,data/evaluation/clean/sample8044.wav
data/evaluation/noisy/sample21427.wav,data/evaluation/clean/sample21427.wav
data/evaluation/noisy/sample21250.wav,data/evaluation/clean/sample21250.wav
data/evaluation/noisy/sample11383.wav,data/evaluation/clean/sample11383.wav
data/evaluation/noisy/sample784.wav,data/evaluation/clean/sample784.wav
data/evaluation/noisy/sample4298.wav,data/evaluation/clean/sample4298.wav
data/evaluation/noisy/sample17004.wav,data/evaluation/clean/sample17004.wav
data/evaluation/noisy/sample21467.wav,data/evaluation/clean/sample21467.wav
data/evaluation/noisy/sample5783.wav,data/evaluation/clean/sample5783.wav
data/evaluation/noisy/sample6150.wav,data/evaluation/clean/sample6150.wav
data/evaluation/noisy/sample5800.wav,data/evaluation/clean/sample5800.wav
data/evaluation/noisy/sample9992.wav,data/evaluation/clean/sample9992.wav
data/evaluation/noisy/sample2578.wav,data/evaluation/clean/sample2578.wav
data/evaluation/noisy/sample8774.wav,data/evaluation/clean/sample8774.wav
data/evaluation/noisy/sample10950.wav,data/evaluation/clean/sample10950.wav
data/evaluation/noisy/sample5190.wav,data/evaluation/clean/sample5190.wav
data/evaluation/noisy/sample16013.wav,data/evaluation/clean/sample16013.wav
data/evaluation/noisy/sample8841.wav,data/evaluation/clean/sample8841.wav
data/evaluation/noisy/sample11827.wav,data/evaluation/clean/sample11827.wav
data/evaluation/noisy/sample8505.wav,data/evaluation/clean/sample8505.wav
data/evaluation/noisy/sample17388.wav,data/evaluation/clean/sample17388.wav
data/evaluation/noisy/sample18450.wav,data/evaluation/clean/sample18450.wav
data/evaluation/noisy/sample14744.wav,data/evaluation/clean/sample14744.wav
data/evaluation/noisy/sample8499.wav,data/evaluation/clean/sample8499.wav
data/evaluation/noisy/sample15894.wav,data/evaluation/clean/sample15894.wav
data/evaluation/noisy/sample11667.wav,data/evaluation/clean/sample11667.wav
data/evaluation/noisy/sample11562.wav,data/evaluation/clean/sample11562.wav
data/evaluation/noisy/sample14284.wav,data/evaluation/clean/sample14284.wav
